Stn_No,Lat,Long
53914,35.37,106.07
53915,35.33,106.4
53916,35.3,106.19
53917,35.13,106.03
53923,35.44,107.38
53924,35.09,107.24
53925,35.41,107.11
53926,35.2,107.21
53927,35.13,106.38
53928,35.18,107.01
53929,35.12,107.48
53930,36.27,107.59
53931,36.0,109.23
53934,35.49,108.01
53935,35.3,108.21
53937,35.25,108.0
53938,35.1,108.18
53941,35.11,109.35
53942,35.49,109.3
53945,35.26,109.04
53946,35.36,109.49
53947,35.05,109.04
53948,34.57,109.35
53949,35.11,109.55
53950,35.14,110.09
53953,35.58,110.51
53954,35.35,110.57
53955,35.28,110.27
53956,35.24,110.5
53957,35.37,110.43
53958,35.09,110.43
53959,35.02,111.01
53961,35.39,111.29
53962,35.44,111.42
53963,35.39,111.22
53964,35.37,111.13
53965,35.31,111.34
53966,35.59,111.5
53967,35.2,111.12
53968,35.1,111.48
53970,35.42,112.12
53972,35.07,112.55
53973,35.47,112.55
53974,35.37,114.11
53975,35.29,112.24
53976,35.31,112.5
53978,35.05,112.38
53979,35.11,113.03
53980,36.33,114.48
53981,35.47,113.16
53982,35.14,113.16
53983,35.02,114.25
53984,35.14,113.25
53985,35.27,113.49
53986,35.19,113.53
53987,35.06,113.24
53988,35.16,113.4
53989,35.03,113.57
53990,35.54,114.1
53991,35.56,114.21
53992,35.41,114.33
53993,35.56,114.55
53994,35.23,114.04
53995,35.35,114.3
53996,36.27,114.42
53997,35.09,114.11
53998,35.12,114.39
54012,44.35,117.36
54024,44.27,119.18
54026,44.34,120.54
54027,43.59,119.24
54031,44.53,121.49
54039,44.02,122.01
54041,44.47,123.04
54047,44.08,123.18
54049,44.15,123.58
54063,44.58,126.0
54064,44.25,125.1
54065,44.32,125.4
54069,44.1,125.48
54072,44.5,126.32
54076,44.25,126.56
54080,44.54,127.09
54092,44.35,129.24
54093,44.56,130.33
54094,44.34,129.36
54096,44.23,131.09
54098,44.2,129.28
54099,44.06,131.11
54102,43.57,116.04
54113,43.32,118.39
54115,43.36,118.04
54117,43.15,117.32
54122,43.53,120.03
54132,42.24,121.04
54134,43.36,121.17
54135,43.36,122.16
54142,43.3,123.32
54154,43.21,124.18
54155,43.4,124.14
54156,43.31,124.48
54157,43.11,124.2
54161,43.54,125.13
54164,43.21,125.17
54165,43.3,125.39
54169,43.18,126.01
54171,43.42,126.31
54172,43.57,126.28
54181,43.42,127.2
54186,43.22,128.12
54187,43.07,128.55
54192,43.42,130.15
54195,43.2,129.46
54204,42.18,115.0
54205,42.15,115.59
54208,42.11,116.28
54209,42.15,117.14
54213,42.57,119.02
54214,42.35,118.25
54218,42.16,118.56
54223,42.51,120.39
54225,42.17,119.55
54226,42.2,120.42
54231,42.58,122.21
54234,42.44,121.47
54236,42.25,122.32
54237,42.05,121.43
54243,42.47,124.07
54244,42.45,123.2
54245,42.3,123.24
54248,42.02,123.32
54249,42.18,123.52
54252,42.44,124.45
54254,42.32,124.03
54259,42.06,124.55
54260,42.55,125.05
54261,42.41,125.27
54263,42.58,126.03
54266,42.32,125.38
54267,42.15,125.44
54273,42.59,126.45
54274,42.41,126.04
54276,42.21,126.49
54284,42.06,127.34
54285,42.32,128.15
54286,42.32,129.0
54290,42.46,129.24
54291,42.54,130.17
54292,42.53,129.28
54293,42.57,129.5
54301,41.4,115.42
54304,40.58,115.17
54305,41.53,115.16
54308,41.13,116.38
54311,41.56,117.45
54313,41.56,118.42
54316,41.31,118.45
54318,41.19,117.44
54319,41.0,118.4
54320,41.36,119.21
54321,41.52,119.38
54323,41.49,120.45
54324,41.33,120.27
54325,41.11,120.21
54326,41.23,119.42
54327,41.14,119.21
54328,41.05,119.43
54331,41.35,121.46
54332,41.31,122.43
54333,41.59,122.5
54334,41.31,121.14
54335,41.41,122.05
54336,41.23,122.26
54337,41.08,121.07
54338,41.11,122.01
54339,41.05,123.0
54342,41.44,123.27
54346,41.19,123.47
54347,41.14,123.1
54349,41.18,124.07
54351,41.55,124.05
54353,41.44,125.03
54362,41.4,125.45
54363,41.41,125.54
54365,41.16,125.21
54371,41.56,126.26
54374,41.48,126.55
54377,41.06,126.09
54386,41.21,128.1
54398,40.07,116.38
54399,39.59,116.17
54401,40.47,114.53
54404,40.54,115.5
54405,40.24,115.3
54406,40.27,115.58
54408,40.23,115.13
54410,40.36,116.08
54412,40.44,116.38
54416,40.23,116.52
54419,40.19,116.38
54420,40.56,117.2
54421,40.39,117.07
54423,40.58,117.56
54424,40.09,117.06
54425,40.25,117.29
54428,40.02,117.24
54429,40.12,117.57
54430,40.46,118.09
54431,39.55,116.38
54432,40.36,118.29
54433,39.57,116.29
54434,40.09,118.18
54436,40.24,118.57
54437,39.3,118.4
54438,39.53,118.52
54439,40.0,118.43
54449,39.56,119.36
54452,40.48,119.49
54453,40.46,120.5
54454,40.21,120.21
54455,40.35,120.42
54470,40.59,122.04
54471,40.4,122.16
54472,40.53,122.43
54474,40.25,122.21
54475,40.37,122.29
54476,40.1,122.09
54483,40.53,123.54
54486,40.17,123.17
54493,40.43,124.47
54494,40.28,124.04
54497,40.03,124.2
54499,40.13,116.13
54501,39.58,115.41
54502,39.29,115.58
54503,39.03,115.51
54504,39.26,115.1
54505,39.55,116.07
54506,39.2,115.51
54507,39.21,115.3
54510,39.53,116.59
54511,39.56,116.17
54512,39.26,116.17
54513,39.56,116.11
54514,39.52,116.15
54515,39.3,116.42
54517,39.06,117.1
54518,39.07,116.23
54519,39.19,116.29
54520,39.58,117.05
54521,39.46,116.59
54522,39.53,117.44
54523,39.24,117.06
54525,39.44,117.17
54526,39.04,117.25
54527,39.05,117.04
54528,39.14,117.08
54529,39.21,117.49
54530,39.14,117.46
54531,39.44,118.41
54532,39.48,118.06
54533,39.33,118.07
54534,39.4,118.09
54535,39.17,118.27
54539,39.26,118.53
54540,39.43,119.1
54541,39.53,119.14
54563,39.38,122.01
54568,39.05,121.42
54569,39.24,121.58
54575,39.25,122.22
54579,39.16,122.35
54584,39.43,122.57
54590,39.53,124.1
54594,39.45,116.2
54596,39.42,116.0
54597,39.44,115.44
54601,39.01,115.39
54602,38.51,115.31
54603,38.41,115.47
54604,38.25,115.2
54605,38.55,115.56
54606,38.14,115.44
54607,38.43,115.07
54608,38.0,115.33
54609,38.14,115.31
54610,38.43,116.05
54611,38.57,115.19
54612,38.52,116.27
54613,38.42,116.37
54614,38.27,116.05
54615,38.35,116.5
54616,38.2,116.5
54617,38.11,116.07
54618,38.05,116.33
54619,38.55,116.55
54620,38.29,115.34
